name,location,cuisine,price,rating
Wood Castle,Sarjapur Road,"North Indian, Chinese, Beverages",400,4
The Wok Shop,Whitefield,"Asian, Chinese, Momos, Fast Food, Indonesian, Korean",500,4
Sri Guru Kottureshwara Davangere Benne Dosa,Basavanagudi,South Indian,150,4
Ambur Biriyani Point,BTM,Biryani,150,4
Bread Crumbs Bakery,Bannerghatta Road,"Desserts, Bakery",250,4
Waffle Stories,BTM,"Desserts, Beverages",300,4
Smally's Resto Cafe,Koramangala 5th Block,"Cafe, Italian, Burger, American, Steak",650,4
XO Belgian Waffle,Brigade Road,"Desserts, Beverages",450,4
Daniyal's,BTM,"North Indian, Biryani, Mughlai, Kebab",800,3
UBCR,Indiranagar,"Italian, American, Chinese, Arabian, North Indian, Cafe",350,3
Japan Travel Cafe Azuki,Residency Road,"Cafe, Japanese",400,4
Malabar Mint,Koramangala 5th Block,"Kerala, North Indian, Chinese",700,3
Om Made Cafe,Koramangala 5th Block,"Cafe, Continental, European, Juices",1300,4
Murphy's Brewhouse - The Paul Bangalore,Domlur,"Continental, North Indian, Finger Food",1700,4
#FeelTheROLL,Bellandur,Fast Food,200,3
Cafe 221B,BTM,"Cafe, Beverages",300,4
Reddy's Paradise,Sarjapur Road,"Fast Food, Chinese, North Indian, Biryani",400,3
WYT RestroPub,MG Road,"North Indian, Chinese",1000,3
Marathi Biriyani House,Frazer Town,"South Indian, Biryani",300,3
Cafe Mamma Mia,Basaveshwara Nagar,"Continental, Italian, Cafe, Beverages, Desserts",600,4
Fetchpod Cafe,Koramangala 6th Block,"Cafe, North Indian, Chinese, Continental",500,3
Halli Mane,Majestic,South Indian,300,3
Sri Udupi Park,Brookefield,"South Indian, North Indian, Chinese",300,3
Barbeque Nation,Electronic City,"North Indian, European, Mediterranean, BBQ, Kebab",1600,4
Dhaba Shaba,Sarjapur Road,"North Indian, Fast Food",250,3
Biryani Nights,Bannerghatta Road,"South Indian, North Indian, Chinese",400,4
Noodles,Bellandur,Chinese,400,3
Bangaliana,Marathahalli,Bengali,600,4
Royal Treat,Koramangala 5th Block,"North Indian, Chinese, Biryani",500,4
Cafe Thulp,Koramangala 1st Block,"Cafe, Burger, Italian, Salad",1000,4
Chapati House,Ejipura,North Indian,300,4
Bulls N Bears - Bar Trade Xchange,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza",1000,4
Star Food County,Sanjay Nagar,Fast Food,300,3
The Grub Central,HSR,"Cafe, Italian, Continental",700,4
Moolehatti Donne Biryani Mane,HSR,"Biryani, Chinese, North Indian, Kebab",400,4
Biryani Pot,Marathahalli,Biryani,500,3
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",700,4
Mom Made Food,Frazer Town,"Biryani, Kerala",400,3
Joey's,BTM,"Chinese, Fast Food",300,4
Ambur Hot Dum Biryani,Hennur,"Biryani, Kebab",250,3
Galli Belly,Domlur,"Sandwich, Rolls",200,3
Ujwal Restaurant,Vasanth Nagar,"Seafood, North Indian, Chinese",550,4
BANGALORE BOX,BTM,"Asian, Continental, Finger Food",1500,4
Goli Vada Pav No. 1,HSR,Street Food,200,4
Sandwichwallas,Jayanagar,Fast Food,200,4
The Early bell,Whitefield,"North Indian, Chinese",300,4
Great Moments - Hotel Bangalore International,Race Course Road,Finger Food,1100,3
Cafe Cassia& Deli,Ulsoor,"Lebanese, Mediterranean, Cafe",1000,4
Beijing Bites,Rajajinagar,"Chinese, Thai",850,4
Taj Hotel,Shivajinagar,"Mughlai, Chinese",700,4
Cafe Braqa,Indiranagar,"Cafe, Italian, Continental, Beverages",700,4
Daily Bread,Koramangala 4th Block,"Bakery, Fast Food, Italian",600,3
Ibaco,Frazer Town,Desserts,300,4
Udupi Upachar,Banashankari,"South Indian, North Indian",500,3
Kaati Zone,Church Street,"Fast Food, Biryani, Rolls",350,3
Chung Wah Opus,JP Nagar,"Chinese, Thai",650,3
Over The Top Terrace Lounge,Koramangala 5th Block,"Continental, North Indian",1400,4
Suvaai Restaurant,Indiranagar,South Indian,100,3
NY8LIFE,BTM,"North Indian, Rolls, Biryani",300,3
The Sugar Therapy,Richmond Road,"Desserts, Bakery",500,4
Tea Totallers,Bellandur,"Cafe, Continental, Tea",500,3
Glacier - Citrine Hotel,Seshadripuram,"Finger Food, North Indian, Chinese",1000,4
Raj Rasoi,Ejipura,"North Indian, Chinese",250,4
Paprica,Marathahalli,"North Indian, Chinese",1200,3
KFC,Koramangala 6th Block,"Burger, Fast Food",450,4
Freeze It,Jayanagar,Ice Cream,300,4
Marhaba,Bannerghatta Road,"Arabian, Mediterranean, North Indian",500,4
Birinz,HSR,"Biryani, Kebab, Fast Food",400,4
Chaat Central,Bannerghatta Road,"Street Food, North Indian",300,3
Carlos Cake Cafe,Marathahalli,"Bakery, Desserts",300,3
Sreeraj Lassi Bar,Jayanagar,"Beverages, Desserts",150,4
WOW! Momo,Nagawara,"Tibetan, Momos",400,4
Queen Pearls,Ejipura,Pizza,500,4
Sattvam,JP Nagar,"North Indian, South Indian",1200,4
New Milestone Restaurant,Marathahalli,North Indian,700,3
Parantha Singh,Kalyan Nagar,North Indian,300,4
Amravathi Restaurants & Caterers,BTM,"North Indian, Chinese",400,3
Coastal Mama,JP Nagar,"Konkan, Mangalorean, North Indian, Seafood",700,4
Shift,HSR,"Finger Food, Continental, North Indian",1500,4
Shanghai Times,Bannerghatta Road,"Chinese, Asian",450,3
Cafe Graffiters,Koramangala 5th Block,"Cafe, Continental, Beverages",600,4
InnerChef,Whitefield,"North Indian, Continental",500,4
Srinivasa Brahmins Bakery,Basavanagudi,"Bakery, Street Food",150,4
Lot Like Crepes & Cafe,Whitefield,"Cafe, Continental, Desserts",600,4
Green Chilly,Rajajinagar,"North Indian, Chinese",350,4
Tattva Cafe,Koramangala 6th Block,Cafe,450,3
Onesta,Marathahalli,"Pizza, Cafe, Italian",600,5
Biryani Junction,Bommanahalli,"Biryani, North Indian, Chinese",450,2
The Coffee Bean & Tea Leaf,MG Road,Cafe,700,4
Pipabu,Koramangala 4th Block,"Continental, Italian, Chinese",750,4
Stoked!,Koramangala 4th Block,"Cafe, Italian, Pizza",850,4
Cake House - Story Cafe,Kalyan Nagar,"Bakery, Desserts",650,4
Kettle & Kegs,Kammanahalli,"Tea, Beverages",200,3
BBQ'D - Global Grill & Brewery,Lavelle Road,"BBQ, North Indian",1500,4
Japan Travel Cafe Azuki,Residency Road,"Cafe, Japanese",400,4
Checkpost,JP Nagar,"South Indian, Seafood, Rolls, Beverages",400,4
Hunger Bee,Bannerghatta Road,"Biryani, North Indian, South Indian",500,4
BOX8- Desi Meals,New BEL Road,"North Indian, Mughlai, Fast Food",500,4
Palki Restaurant,Old Airport Road,"North Indian, Chinese, Biryani, Mangalorean",500,3
HungerLoft,BTM,"North Indian, Chinese, Arabian",800,2
